学号,性别,专业,班级,学习成绩,民主评议,科研成果,科创竞赛,社会活动,是否获得奖学金
222001,男,产业经济学,硕2205,85.78753014,23.85937071,3.851435896,84.88723411,17.77703177,0
222002,男,管理科学与工程,硕2204,24.08825953,41.31595813,77.7703177,64.12854396,87.57896664,1
222003,男,产业经济学,硕2205,10.61128574,88.45484787,82.80587176,60.00244148,65.97186193,0
222004,男,管理科学与工程,硕2206,30.46357616,54.5884579,85.0245674,68.4499649,94.50972015,0
222005,女,企业管理,硕2203,35.70055239,58.84273812,84.76516007,64.47645497,72.39906003,1
222006,女,管理科学与工程,硕2203,99.01425214,43.35764641,61.71452986,30.54292428,68.13562426,1
222007,女,企业管理,硕2207,25.82476272,83.30027161,43.39732047,43.04635762,21.79937132,1
222008,女,产业经济学,硕2203,49.82757042,30.65279092,70.18036439,25.45548875,28.43409528,0
222009,女,企业管理,硕2206,91.92480239,97.62871181,1.727347636,46.63228248,27.73216956,1
222010,女,产业经济学,硕2201,24.63454085,0.384533219,62.58125553,91.20456557,59.08383435,0
222011,男,企业管理,硕2202,46.09210486,7.419049654,23.50840785,23.59385968,82.54341258,0
222012,男,产业经济学,硕2205,65.34318064,76.25049593,0.912503433,98.8616596,6.918546098,0
222013,女,产业经济学,硕2205,73.86700034,59.16013062,16.31214331,41.43803217,19.22971282,0
222014,男,企业管理,硕2206,47.59971923,63.53648488,3.756828516,95.49851985,3.527939695,0
222015,女,管理科学与工程,硕2204,18.32331309,41.3983581,67.39402448,60.94241157,44.17859432,1
222016,女,产业经济学,硕2203,17.41996521,35.03524888,1.559495834,99.6887112,94.77217933,1
222017,男,产业经济学,硕2202,43.42173528,38.88363292,48.89980773,17.68852809,0.698873867,1
222018,女,管理科学与工程,硕2207,75.86596271,50.77669607,55.81530198,8.349864193,26.84408094,1
222019,男,产业经济学,硕2202,55.90075381,26.60908841,56.43177587,44.37696463,88.49757378,0
222020,女,产业经济学,硕2207,61.72368542,86.95028535,41.54484695,41.97515793,32.93862728,1
222021,女,管理科学与工程,硕2205,78.54548784,50.43183691,66.0359508,3.305154576,55.59862056,1
222022,男,管理科学与工程,硕2207,7.330545976,73.53129673,19.09848323,74.85274819,5.349894711,1
222023,女,企业管理,硕2204,45.14603107,8.209479049,92.70912809,5.011139256,60.10010071,1
222024,男,管理科学与工程,硕2204,0.625629444,66.31977294,43.50718711,30.89999084,36.60084841,0
222025,男,企业管理,硕2206,91.58604694,33.1797235,70.36347545,78.13348796,31.19296854,0
222026,男,企业管理,硕2207,89.91973632,68.95962401,89.39481796,35.82873012,82.03985717,1
222027,女,产业经济学,硕2202,10.65095981,1.745658742,11.65501877,40.30884732,5.334635456,1
222028,女,企业管理,硕2203,28.93154698,37.23258156,19.73326823,65.98101749,48.08191168,0
222029,女,管理科学与工程,硕2204,82.95541246,53.70647298,8.66420484,12.20130009,36.16138188,1
